x,y,r
500580.0,120170.0,9.1405
500590.0,117870.0,9.2912
500640.0,118240.0,9.2766
500660.0,120550.0,9.1216
500690.0,118610.0,9.2644
500750.0,120930.0,9.0852
500750.0,118980.0,9.2248
500800.0,122550.0,8.9905
500810.0,119350.0,9.1899
500840.0,121310.0,9.0415
500880.0,119720.0,9.1589
500910.0,122930.0,8.9822
500940.0,121690.0,9.0047
500950.0,120100.0,9.1335
500970.0,117820.0,9.3081
501010.0,118190.0,9.3174
501030.0,123300.0,8.9652
501030.0,120470.0,9.1018
501050.0,122070.0,8.9816
501060.0,118550.0,9.3294
501120.0,118920.0,9.2655
501120.0,120850.0,9.0663
501150.0,122440.0,8.9703
501150.0,123670.0,8.9432
501180.0,119290.0,9.2083
501210.0,121220.0,9.0333
501250.0,119650.0,9.164
501270.0,122810.0,8.9572
501280.0,124030.0,8.9204
501300.0,121590.0,9.0048
501320.0,120020.0,9.1313
501380.0,123180.0,8.9388
501400.0,120390.0,9.1023
501410.0,121970.0,8.9835
501430.0,118500.0,9.3835
501480.0,120760.0,9.0739
501480.0,118860.0,9.3372
501500.0,123550.0,8.9189
501510.0,122340.0,8.9669
501540.0,119220.0,9.2729
501570.0,121130.0,9.0445
501610.0,119580.0,9.2165
501620.0,122710.0,8.9501
501630.0,123900.0,8.9018
501660.0,121500.0,9.0183
501680.0,119950.0,9.1756
501740.0,123070.0,8.931000000000001
501750.0,120310.0,9.1435
501750.0,124250.0,8.8757
501760.0,121870.0,8.9975
501780.0,118450.0,9.4054
501840.0,120680.0,9.1127
501840.0,118800.0,9.4033
501860.0,123430.0,8.9095
501870.0,122230.0,8.9795
501900.0,119160.0,9.3591
501920.0,121040.0,9.0819
501960.0,119520.0,9.3002
501980.0,122600.0,8.9622
501980.0,123780.0,8.887
502020.0,121410.0,9.0552
502030.0,119880.0,9.2532
502070.0,126050.0,8.8875
502090.0,122960.0,8.9441
502100.0,124130.0,8.8663
502110.0,120240.0,9.2218
502120.0,121770.0,9.0336
502190.0,118750.0,9.4352
502190.0,120600.0,9.1899
502200.0,123310.0,8.9252
502210.0,126380.0,8.8956
502220.0,124470.0,8.8536
502220.0,122130.0,9.0153
502250.0,119100.0,9.4299
502270.0,125590.0,8.8632
502270.0,120960.0,9.1551
502310.0,119450.0,9.372
502320.0,122490.0,8.9985
502320.0,123660.0,8.9047
502340.0,127500.0,8.9414
502350.0,124800.0,8.8492
502350.0,126700.0,8.9072
502370.0,121320.0,9.1228
502380.0,119810.0,9.3247
502400.0,125910.0,8.8773
502440.0,122850.0,8.9826
502450.0,120160.0,9.2988
502450.0,124000.0,8.8861
502460.0,121670.0,9.0972
502480.0,125130.0,8.8444
502500.0,127020.0,8.9138
502500.0,127830.0,8.9407
502530.0,120510.0,9.2715
502540.0,126230.0,8.8856
502550.0,123200.0,8.9683
502560.0,122030.0,9.0778
502570.0,124340.0,8.8745
502600.0,119040.0,9.4578
502610.0,125450.0,8.8507
502620.0,120870.0,9.2414
502660.0,119390.0,9.405
502660.0,127350.0,8.9179
502670.0,122390.0,9.0618
502670.0,123540.0,8.9541
502670.0,128160.0,8.9358
502680.0,126550.0,8.8918
502690.0,124670.0,8.866
502710.0,121230.0,9.211
502730.0,119730.0,9.3617
502740.0,125770.0,8.8542
502780.0,122740.0,9.0479
502790.0,123880.0,8.9407
502800.0,120080.0,9.3545
502810.0,121580.0,9.1843
502820.0,127670.0,8.913
502820.0,124990.0,8.8552
502830.0,126870.0,8.8957
502840.0,128490.0,8.9316
502880.0,126080.0,8.8564
502880.0,120430.0,9.3246
502890.0,123080.0,9.0363
502910.0,124210.0,8.9293
502910.0,121930.0,9.1632
502950.0,125310.0,8.8469
502960.0,120780.0,9.2961
502980.0,127190.0,8.8948
502980.0,128000.0,8.906
503010.0,123420.0,9.0266
503010.0,122280.0,9.148
503020.0,128830.0,8.9296
503020.0,126400.0,8.8579
503030.0,124540.0,8.9165
503050.0,121130.0,9.2757
503080.0,125630.0,8.834
503120.0,122630.0,9.1355
503130.0,123760.0,9.0184
503140.0,127510.0,8.8902
503150.0,120010.0,9.3851
503150.0,128320.0,8.9025
503150.0,121480.0,9.2575
503160.0,124860.0,8.8992
503160.0,126720.0,8.8617
503210.0,129160.0,8.93
503210.0,125940.0,8.8212
503230.0,122970.0,9.1244
503230.0,120350.0,9.3433
503250.0,124090.0,9.0094
503250.0,121830.0,9.2415
503280.0,125170.0,8.8774
503300.0,127830.0,8.8851
503310.0,120700.0,9.3097
503310.0,127030.0,8.8643
503330.0,128660.0,8.9023
503350.0,123310.0,9.1161
503350.0,126250.0,8.8152
503350.0,122180.0,9.232999999999999
503370.0,124410.0,8.998
503400.0,121040.0,9.3016
503400.0,129500.0,8.9311
503410.0,125480.0,8.8545
503460.0,122520.0,9.2242
503460.0,123640.0,9.1131
503460.0,127350.0,8.8647
503470.0,128160.0,8.8824
503490.0,121390.0,9.2965
503490.0,124730.0,8.9817
503490.0,126560.0,8.8204
